A_node_name	B_node_name	Source_db_1	Int_type_1	Source_db_2	Int_type_2
uniprot:P10276	uniprot:P35222	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P60484	uniprot:P31749	effect:unknown|is_directed:directed|is_direct:MI:2246(indirect)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q9BXM7	uniprot:P28482	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O60674	uniprot:P40763	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P19793	uniprot:P10275	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O15105	uniprot:Q15796	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q14393	uniprot:P30530	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P49407	uniprot:P27361	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O60674	uniprot:P42224	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P78536	uniprot:P46531	effect:unknown|is_directed:directed|is_direct:MI:2246(indirect)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P46531	uniprot:Q9UJU2	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:Q15796	uniprot:Q9UJU2	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P31749	uniprot:P35222	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P01133	uniprot:P00533	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P27361	uniprot:Q15796	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O43541	uniprot:P36894	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P29350	uniprot:P40763	effect:MI:0623(inhibition)|is_directed:directed|is_direct:MI:2246(indirect)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P28482	uniprot:P40763	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P19793	uniprot:P37231	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P03372	uniprot:P37231	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P16220	uniprot:P84022	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P42684	uniprot:O15350	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P42684	uniprot:P42345	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P31749	uniprot:Q12778	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P04629	uniprot:P19174	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P28482	uniprot:P01106	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:P04049	uniprot:Q9BXM7	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
uniprot:O75581	uniprot:O15169	effect:MI:0624(stimulation)|is_directed:directed|is_direct:MI:0407(directed)|molecular_background:unknown	source database:slk21	source database:slk2
