A_node_name	B_node_name	Int_type_1	Source_db
uniprot:Q07889	uniprot:P01116	2252(guanine nucleotide exchange factor)	signor
uniprot:Q07889	uniprot:P01116	2236(up-regulates activity)	signor
uniprot:P12931	uniprot:P62993	0217(phosphorylation reaction)	signor
uniprot:P12931	uniprot:P62993	directed	signor
uniprot:P56705	uniprot:O75197	0462(bind)	signor
uniprot:P56705	uniprot:O75197	2236(up-regulates activity)	signor
uniprot:Q9HCE7	uniprot:Q15797	0220(ubiquitination reaction)	signor
uniprot:Q9HCE7	uniprot:Q15797	2240(down-regulates)	signor
uniprot:Q16539	uniprot:P35638	0217(phosphorylation reaction)	signor
uniprot:Q16539	uniprot:P35638	2236(up-regulates activity)	signor
uniprot:P01137	uniprot:P36897	0462(bind)	signor
uniprot:P01137	uniprot:P36897	2236(up-regulates activity)	signor
uniprot:Q16539	uniprot:Q02078	0217(phosphorylation reaction)	signor
uniprot:Q16539	uniprot:Q02078	2236(up-regulates activity)	signor
uniprot:Q16539	uniprot:Q02078	0217(phosphorylation reaction)	signor
uniprot:Q16539	uniprot:Q02078	2235(up-regulates)	signor
uniprot:Q16539	uniprot:Q02078	0217(phosphorylation reaction)	signor
uniprot:Q16539	uniprot:Q02078	directed	signor
uniprot:O43318	uniprot:Q9Y6K9	0462(bind)	signor
uniprot:O43318	uniprot:Q9Y6K9	2236(up-regulates activity)	signor
uniprot:P51617	uniprot:Q9Y4K3	0462(bind)	signor
uniprot:P51617	uniprot:Q9Y4K3	2236(up-regulates activity)	signor
uniprot:Q92934	uniprot:P04637	0462(bind)	signor
uniprot:Q92934	uniprot:P04637	2236(up-regulates activity)	signor
uniprot:P06239	uniprot:P43403	0217(phosphorylation reaction)	signor
uniprot:P06239	uniprot:P43403	directed	signor
uniprot:P06239	uniprot:P43403	0217(phosphorylation reaction)	signor
uniprot:P06239	uniprot:P43403	2241(down-regulates activity)	signor
uniprot:P56704	uniprot:O75197	0462(bind)	signor
uniprot:P56704	uniprot:O75197	2236(up-regulates activity)	signor
uniprot:P17612	uniprot:P35222	0217(phosphorylation reaction)	signor
uniprot:P17612	uniprot:P35222	2236(up-regulates activity)	signor
uniprot:Q15796	uniprot:Q15796	0462(bind)	signor
uniprot:Q15796	uniprot:Q15796	2236(up-regulates activity)	signor
uniprot:P49841	uniprot:P49768	0217(phosphorylation reaction)	signor
uniprot:P49841	uniprot:P49768	2241(down-regulates activity)	signor
uniprot:P25445	uniprot:P25445	0462(bind)	signor
uniprot:P25445	uniprot:P25445	2236(up-regulates activity)	signor
uniprot:P01112	uniprot:P04049	0462(bind)	signor
uniprot:P01112	uniprot:P04049	2235(up-regulates)	signor
uniprot:P45983	uniprot:P40763	0217(phosphorylation reaction)	signor
uniprot:P45983	uniprot:P40763	2236(up-regulates activity)	signor
uniprot:P49841	uniprot:P10636	0217(phosphorylation reaction)	signor
uniprot:P49841	uniprot:P10636	2240(down-regulates)	signor
uniprot:Q14790	uniprot:Q13546	0194(cleavage reaction)	signor
uniprot:Q14790	uniprot:Q13546	2241(down-regulates activity)	signor
uniprot:Q16539	uniprot:P84022	0217(phosphorylation reaction)	signor
uniprot:Q16539	uniprot:P84022	2236(up-regulates activity)	signor
uniprot:Q16539	uniprot:P04637	0217(phosphorylation reaction)	signor
uniprot:Q16539	uniprot:P04637	2235(up-regulates)	signor
uniprot:Q16539	uniprot:P04637	0217(phosphorylation reaction)	signor
uniprot:Q16539	uniprot:P04637	2236(up-regulates activity)	signor
uniprot:Q16539	uniprot:P04637	0217(phosphorylation reaction)	signor
uniprot:Q16539	uniprot:P04637	2239(up-regulates quantity by stabilization)	signor
uniprot:P01116	uniprot:P42336	0462(bind)	signor
uniprot:P01116	uniprot:P42336	2235(up-regulates)	signor
uniprot:O00755	uniprot:O75197	0462(bind)	signor
uniprot:O00755	uniprot:O75197	2236(up-regulates activity)	signor
uniprot:P00533	uniprot:P62993	0217(phosphorylation reaction)	signor
uniprot:P00533	uniprot:P62993	directed	signor
uniprot:Q9NQC7	uniprot:Q9Y4K3	0204(deubiquitination reaction)	signor
uniprot:Q9NQC7	uniprot:Q9Y4K3	2240(down-regulates)	signor
uniprot:Q15465	uniprot:Q13635	0462(bind)	signor
uniprot:Q15465	uniprot:Q13635	2241(down-regulates activity)	signor
uniprot:P00533	uniprot:P40763	0217(phosphorylation reaction)	signor
uniprot:P00533	uniprot:P40763	2236(up-regulates activity)	signor
uniprot:P63000	uniprot:P45983	0462(bind)	signor
uniprot:P63000	uniprot:P45983	2235(up-regulates)	signor
uniprot:P17612	uniprot:P10071	0217(phosphorylation reaction)	signor
uniprot:P17612	uniprot:P10071	2242(down-regulates quantity)	signor
uniprot:P17612	uniprot:P10071	0217(phosphorylation reaction)	signor
uniprot:P17612	uniprot:P10071	2240(down-regulates)	signor
uniprot:P01308	uniprot:P06213	0462(bind)	signor
uniprot:P01308	uniprot:P06213	2236(up-regulates activity)	signor
uniprot:P42345	uniprot:P23443	0217(phosphorylation reaction)	signor
uniprot:P42345	uniprot:P23443	2236(up-regulates activity)	signor
uniprot:P46531	uniprot:Q16665	2256(relocalization reaction)	signor
uniprot:P46531	uniprot:Q16665	2236(up-regulates activity)	signor
uniprot:Q12933	uniprot:O43318	0220(ubiquitination reaction)	signor
uniprot:Q12933	uniprot:O43318	2236(up-regulates activity)	signor
uniprot:Q9UJU2	uniprot:P01106	2247(transcriptional regulation)	signor
uniprot:Q9UJU2	uniprot:P01106	2238(up-regulates quantity by expression)	signor
uniprot:P49137	uniprot:P16220	0217(phosphorylation reaction)	signor
uniprot:P49137	uniprot:P16220	2235(up-regulates)	signor
uniprot:Q9Y4K3	uniprot:Q9Y4K3	0220(ubiquitination reaction)	signor
uniprot:Q9Y4K3	uniprot:Q9Y4K3	2236(up-regulates activity)	signor
uniprot:P12643	uniprot:Q15796	unknown	signor
uniprot:P12643	uniprot:Q15796	2235(up-regulates)	signor
uniprot:Q13253	uniprot:P36894	0462(bind)	signor
uniprot:Q13253	uniprot:P36894	2241(down-regulates activity)	signor
uniprot:P12643	uniprot:Q16539	unknown	signor
uniprot:P12643	uniprot:Q16539	2235(up-regulates)	signor
uniprot:P04628	uniprot:O75581	0462(bind)	signor
uniprot:P04628	uniprot:O75581	2236(up-regulates activity)	signor
uniprot:P35222	uniprot:Q9UJU2	0462(bind)	signor
uniprot:P35222	uniprot:Q9UJU2	2236(up-regulates activity)	signor
uniprot:P04637	uniprot:P10415	0462(bind)	signor
uniprot:P04637	uniprot:P10415	2241(down-regulates activity)	signor
uniprot:O15169	uniprot:O15169	0462(bind)	signor
uniprot:O15169	uniprot:O15169	2236(up-regulates activity)	signor
