Gene ID	Uniprot ID
FOS	G3V5J9
GAPDH	Q0QET7
GRB2	Q6ICN0
HIF1A	A8MYV6
HRAS	P01112
INS	F6MZK5
INSR	Q86WY9
IRS1	W0KRH6
ITPR1	A0A024R2E1
ITPR2	F5GYT5
ITPR3	A6H8K3
JUN	Q6FHK0
KRAS	A5HC19
NFE2L2	E2I973
NFKB1	D6RH30
NFKBIA	Q9UGJ6
NFKBIB	I3L4X3
NFKBIE	A0A024RD24
NRAS	Q9UM97
PAK1	A0A024R5P0
PDPK1	H3BQ10
PLCG1	A0A0D9SEK2
PPP2CA	Q6I9T8
PPP2CB	E5RFI3
PPP2R1A	M0QXG4
PPP2R1B	E9PNM7
PPP2R2B	Q9NS07
PPP2R2C	L8ECI7
PPP2R3A	A0PJH4
PPP2R4	Q15257
PPP2R5A	Q15172
PPP2R5B	E9PQN5
PPP2R5C	H0YN58
PPP2R5D	Q14738
PPP2R5E	Q86XZ2
PRKAB1	Q9Y478
PRKCA	B0LPH5
PRKCB	H3BV73
PRKCD	C9J9P1
PRKCG	P05129
PRKCQ	A0A087X0I9
EIF2AK2	B7ZKK7
MAP2K4	R4GN68
SHC1	Q5T187
SMPD1	Q15495
SOD1	X5CQ60
SOD2	Q71UR9
SOS1	Q53SF8
TRAF1	Q13077
UBC	L8B4Z6
VDAC3	Q36731
IRS4	O14654
EIF4EBP3	O60516
IRS2	Q9UP29
TRADD	Q15628
RIPK1	A0A024QZU0
AP1S2	H7BZG6
AP1G2	L8EA67
AP1M1	A0A024R7K8
MAP3K14	A0A087WXF1
BAG3	C9JFK9
KEAP1	A0A024R7C0
TELO2	H3BU45
AP1M2	K7EMG5
CAMKK2	Q8IZW1
CAPN9	E7ESS6
CAPN11	Q9UMQ6
CAPN10	B7WPF5
VPS39	A0A024R9L9
SIRT1	Q96EB6
CAPN7	Q7Z479
FKBP8	A0A024R7P2
VPS41	Q75MS1
EIF2AK1	Q75MR0
PPP2R3B	Q96FD8
CkIIbeta	Q9NGY7
Pkcdelta	B7Z147
CtsB1	Q9VY87
HDAC6	C9JEF4
Gapdh2	M9PJN8
Thor	Q9XZ56
drk	Q08012
FK506-bp2	P48375
CG3376	Q9VA78
Pdk1	H1ZY86
Itp-r83A	A0A0B4LGN1
tgo	A0A0B4KFJ2
E2f1	Q8T0P0
sima	Q5U0W0
eIF-4E	Q9VRY0
CkIIalpha	A4V2B8
WAC	J3QTA0
PPP2R3C	H0YJV0
AP1AR	A0A024RDK6
PPP2R2D	Q6PEG1
TIGAR	A0A0U1RQD1
NFKBIZ	H7C5S1
VPS16	Q6GMQ7
chico	H1ZYI1
CAPNS2	Q96L46
NFKBID	K7EKM2
CAPN13	H7C1Z4
AP1S3	Q53R44
CAPN12	M0QZT6
CAPN8	H0YDN4
EIF2AK4	H0YME5
CAPN14	F1LLU4
rl	A0A0B4KGJ5
EEF1A1	Q6NS35
EVA1A	C9J5M4
GFAP	A0A224AME3
TM9SF1	E9PJC4
TMEM74	A0A024R9D4
ULK3	H3BP85
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
ATG2A	A0AUL9
ATG2B	L8E8U7
ATG2A	A0AUL9
ATG2B	L8E8U7
ATG2B	L8E8U7
ATG2A	A0AUL9
ATG2B	L8E8U7
ATG2B	L8E8U7
ATG2A	A0AUL9
ATG2B	L8E8U7
ATG2A	A0AUL9
ATG2B	L8E8U7
ATG2A	A0AUL9
ATG2B	L8E8U7
ATG2A	A0AUL9
ATG2B	L8E8U7
ATG2A	A0AUL9
